"日期","收市","開市","高","低","成交量","更改%"
"2014年11月11日","65.95","66.25","66.35","65.95","15.09M","-0.30%"
"2014年11月10日","66.15","65.40","66.30","65.25","16.37M","1.46%"
"2014年11月7日","65.20","65.00","65.25","64.70","10.65M","0.15%"
"2014年11月6日","65.10","65.55","65.70","64.95","21.14M","-0.61%"
"2014年11月5日","65.50","65.80","65.85","65.35","10.54M","-0.23%"
"2014年11月4日","65.65","65.75","66.05","65.55","11.03M","0.08%"
"2014年11月3日","65.60","65.30","65.90","65.30","10.61M","0.46%"
"2014年10月31日","65.30","65.00","65.30","64.70","16.61M","0.77%"
"2014年10月30日","64.80","64.85","64.95","64.55","9.08M","-0.31%"
"2014年10月29日","65.00","64.60","65.00","64.50","9.40M","1.01%"
"2014年10月28日","64.35","64.00","64.35","64.00","11.18M","1.74%"
"2014年10月27日","63.25","63.40","63.45","63.00","8.08M","0.32%"
"2014年10月24日","63.05","63.85","63.85","62.80","22.50M","-3.07%"
"2014年10月23日","65.05","65.30","65.30","65.00","7.09M","-0.38%"
"2014年10月22日","65.30","65.10","65.45","65.00","9.34M","1.56%"
"2014年10月21日","64.30","64.40","64.55","64.20","7.24M","-0.46%"
"2014年10月20日","64.60","64.25","64.60","63.90","10.88M","1.97%"
"2014年10月17日","63.35","64.25","64.40","63.35","15.74M","-1.02%"
"2014年10月16日","64.00","63.65","64.35","63.25","24.72M","-0.16%"
"2014年10月15日","64.10","64.45","64.80","63.95","14.41M","-0.70%"
"2014年10月14日","64.55","64.00","64.60","64.00","12.91M","0.86%"
"2014年10月13日","64.00","64.15","64.55","63.80","19.67M","-3.03%"
"2014年10月9日","66.00","66.10","66.45","65.70","15.00M","0.46%"
"2014年10月8日","65.70","65.80","66.05","65.70","8.11M","-0.61%"
"2014年10月7日","66.10","66.25","66.25","65.70","11.31M","-0.83%"
"2014年10月6日","66.65","66.65","66.70","66.15","6.66M","-0.07%"
"2014年10月3日","66.70","65.80","66.70","65.60","16.24M","1.83%"
"2014年10月2日","65.50","65.00","65.75","64.90","11.49M","0.00%"
"2014年10月1日","65.50","65.05","65.65","64.85","17.51M","0.31%"
"2014年9月30日","65.30","65.30","65.65","64.65","20.70M","-0.15%"
"2014年9月29日","65.40","65.65","65.70","65.20","17.18M","-0.30%"
"2014年9月26日","65.60","65.50","65.85","65.25","23.17M","-0.53%"
"2014年9月25日","65.95","66.70","66.85","65.70","23.06M","-0.90%"
"2014年9月24日","66.55","66.55","66.80","66.30","25.20M","-0.37%"
"2014年9月23日","66.80","66.90","67.00","66.65","14.80M","-0.22%"
"2014年9月22日","66.95","67.35","67.35","66.55","27.06M","-1.54%"
"2014年9月19日","68.00","68.20","68.25","67.85","12.12M","0.22%"
"2014年9月18日","67.85","67.70","68.05","67.60","16.23M","0.22%"
"2014年9月17日","67.70","67.50","68.20","67.45","16.52M","0.74%"
"2014年9月16日","67.20","67.65","67.65","67.15","18.03M","-0.81%"
"2014年9月15日","67.75","67.15","67.75","67.15","13.13M","0.00%"
"2014年9月12日","67.75","68.40","68.40","67.60","19.51M","-0.95%"
"2014年9月11日","68.40","68.70","68.70","68.40","8.68M","-0.36%"
"2014年9月10日","68.65","68.95","68.95","68.05","17.85M","-0.87%"
"2014年9月9日","69.25","69.40","69.50","69.25","7.41M","0.36%"
"2014年9月5日","69.00","69.30","69.30","68.65","7.41M","0.00%"
"2014年9月4日","69.00","69.00","69.15","68.80","5.39M","-0.36%"
"2014年9月3日","69.25","68.90","69.45","68.85","6.91M","0.73%"
"2014年9月2日","68.75","69.70","69.70","68.60","17.74M","-1.50%"
"2014年9月1日","69.80","69.25","69.95","69.25","5.27M","0.87%"
"2014年8月29日","69.20","69.05","69.30","68.85","2.43M","-0.22%"
"2014年8月28日","69.35","69.25","69.45","69.20","3.90M","0.14%"
"2014年8月27日","69.25","68.95","69.40","68.95","7.61M","0.95%"
"2014年8月26日","68.60","68.60","68.80","68.55","1.73M","-0.07%"
"2014年8月25日","68.65","68.75","68.90","68.60","2.96M","-0.15%"
"2014年8月22日","68.75","68.10","68.95","68.10","7.54M","1.25%"
"2014年8月21日","67.90","68.00","68.10","67.80","3.05M","-0.15%"
"2014年8月20日","68.00","67.70","68.05","67.70","8.46M","0.37%"
"2014年8月19日","67.75","67.30","67.75","67.00","6.73M","1.27%"
"2014年8月18日","66.90","67.10","67.10","66.60","2.43M","-0.30%"
"2014年8月15日","67.10","67.10","67.25","66.75","3.89M","0.00%"
"2014年8月14日","67.10","67.00","67.25","66.95","5.99M","0.52%"
"2014年8月13日","66.75","66.15","66.75","66.05","5.22M","0.98%"
"2014年8月12日","66.10","66.00","66.30","65.85","4.36M","0.08%"
"2014年8月11日","66.05","66.00","66.15","65.75","8.08M","0.53%"
"2014年8月8日","65.70","65.45","65.70","65.05","14.25M","0.00%"
"2014年8月7日","65.70","65.75","65.90","65.40","6.01M","0.00%"
"2014年8月6日","65.70","65.30","65.75","65.05","6.86M","0.69%"
"2014年8月5日","65.25","66.40","66.40","65.10","19.58M","-2.03%"
"2014年8月4日","66.60","66.20","66.70","66.10","3.75M","0.53%"
"2014年8月1日","66.25","65.95","66.30","65.90","12.83M","-0.75%"
"2014年7月31日","66.75","67.85","67.85","66.60","11.13M","-1.62%"
"2014年7月30日","67.85","67.45","67.95","67.45","2.80M","0.59%"
"2014年7月29日","67.45","67.75","67.95","67.20","7.20M","-0.07%"
"2014年7月28日","67.50","67.45","67.80","67.30","2.76M","-0.22%"
"2014年7月25日","67.65","68.40","68.40","67.45","5.55M","-1.10%"
"2014年7月24日","68.40","68.30","68.40","68.10","3.85M","0.44%"
"2014年7月22日","68.10","67.70","68.20","67.50","4.16M","0.89%"
"2014年7月21日","67.50","67.75","67.95","67.50","5.31M","0.00%"
"2014年7月18日","67.50","67.05","67.60","67.00","6.38M","0.00%"
"2014年7月17日","67.50","67.95","68.00","67.30","8.01M","-1.24%"
"2014年7月16日","68.35","68.95","69.00","68.10","5.00M","-0.87%"
"2014年7月15日","68.95","68.95","69.05","68.75","3.96M","0.36%"
"2014年7月14日","68.70","68.25","68.80","68.25","3.08M","0.59%"
"2014年7月11日","68.30","68.35","68.70","68.15","7.80M","-0.07%"
"2014年7月10日","68.35","67.80","68.45","67.80","5.63M","0.74%"
"2014年7月9日","67.85","67.65","67.85","67.50","3.13M","0.15%"
"2014年7月8日","67.75","67.80","67.90","67.60","5.51M","0.22%"
"2014年7月7日","67.60","67.50","67.70","67.30","5.52M","-0.15%"
"2014年7月4日","67.70","67.80","67.90","67.35","7.08M","0.00%"
"2014年7月3日","67.70","67.10","67.80","66.90","8.12M","0.89%"
"2014年7月2日","67.10","66.80","67.55","66.65","11.64M","0.83%"
"2014年7月1日","66.55","65.95","66.75","65.85","9.61M","0.91%"
"2014年6月30日","65.95","65.30","66.00","65.20","7.58M","0.92%"
"2014年6月27日","65.35","65.35","65.35","64.50","9.23M","0.00%"
"2014年6月26日","65.35","64.75","65.40","64.75","9.21M","1.08%"
"2014年6月25日","64.65","64.65","64.80","64.60","7.52M","-0.23%"
"2014年6月24日","64.80","64.85","65.05","64.70","7.96M","0.15%"
"2014年6月23日","64.70","64.80","65.00","64.60","13.75M","-0.08%"
"2014年6月20日","64.75","64.95","65.10","64.70","3.56M","-0.31%"
"2014年6月19日","64.95","64.65","65.05","64.55","9.93M","0.70%"
"2014年6月18日","64.50","64.40","64.80","64.30","9.53M","0.23%"
"2014年6月17日","64.35","63.90","64.45","63.85","3.85M","0.70%"
"2014年6月16日","63.90","63.85","64.00","63.60","2.61M","0.08%"
"2014年6月13日","63.85","63.90","63.90","63.70","3.32M","-0.23%"
"2014年6月12日","64.00","64.00","64.10","63.90","4.51M","-0.23%"
"2014年6月11日","64.15","64.20","64.25","64.05","5.04M","-0.08%"
"2014年6月10日","64.20","63.85","64.30","63.85","6.84M","0.63%"
"2014年6月9日","63.80","63.60","63.85","63.60","3.89M","0.39%"
"2014年6月6日","63.55","63.65","63.75","63.40","3.49M","0.24%"
"2014年6月5日","63.40","63.30","63.40","63.10","1.70M","0.00%"
"2014年6月4日","63.40","63.40","63.55","63.30","3.39M","0.40%"
"2014年6月3日","63.15","63.15","63.45","62.80","5.11M","0.08%"
"2014年5月30日","63.10","63.40","63.45","63.10","6.72M","-0.47%"
"2014年5月29日","63.40","63.70","63.70","63.40","9.54M","-0.47%"
"2014年5月28日","63.70","63.15","63.80","63.15","11.65M","0.95%"
"2014年5月27日","63.10","63.05","63.20","62.95","8.03M","0.08%"
"2014年5月26日","63.05","62.85","63.10","62.85","8.64M","0.48%"
"2014年5月23日","62.75","62.85","62.90","62.65","13.45M","0.16%"
"2014年5月22日","62.65","62.00","62.65","61.95","14.67M","1.38%"
"2014年5月21日","61.80","62.00","62.20","61.75","6.52M","-0.48%"
"2014年5月20日","62.10","61.90","62.30","61.90","9.95M","0.40%"
"2014年5月19日","61.85","61.85","62.00","61.80","7.17M","0.00%"
"2014年5月16日","61.85","61.65","61.85","61.40","9.14M","0.16%"
"2014年5月15日","61.75","61.75","61.85","61.55","8.90M","-0.08%"
"2014年5月14日","61.80","61.60","61.80","61.45","10.74M","0.57%"
"2014年5月13日","61.45","61.60","61.75","61.35","5.61M","0.49%"
"2014年5月12日","61.15","61.50","61.50","61.10","3.93M","-0.49%"
"2014年5月9日","61.45","61.70","61.85","61.45","3.93M","-0.65%"
"2014年5月8日","61.85","61.60","61.85","61.40","3.83M","0.73%"
"2014年5月7日","61.40","61.50","61.60","61.20","7.88M","-0.24%"
"2014年5月6日","61.55","61.50","61.75","61.10","10.31M","0.57%"
"2014年5月5日","61.20","61.55","61.60","61.00","6.85M","-0.16%"
"2014年5月2日","61.30","61.15","61.65","61.15","7.65M","0.49%"
"2014年4月30日","61.00","61.40","61.45","60.80","5.60M","-0.57%"
"2014年4月29日","61.35","61.25","61.50","61.10","6.52M","0.16%"
"2014年4月28日","61.25","60.30","61.50","60.30","8.48M","0.91%"
"2014年4月25日","60.70","61.65","61.80","60.60","22.90M","-1.70%"
"2014年4月24日","61.75","61.70","61.80","61.60","4.52M","0.16%"
"2014年4月23日","61.65","61.85","62.05","61.50","5.49M","-0.16%"
"2014年4月22日","61.75","61.55","61.95","61.55","9.14M","0.32%"
"2014年4月21日","61.55","61.45","61.65","61.45","3.41M","0.00%"
"2014年4月18日","61.55","61.75","61.90","61.50","7.07M","0.65%"
"2014年4月17日","61.15","61.30","61.40","61.10","3.53M","-0.24%"
"2014年4月16日","61.30","61.35","61.50","61.10","7.05M","-0.08%"
"2014年4月15日","61.35","61.20","61.45","61.20","13.89M","0.49%"
"2014年4月14日","61.05","61.10","61.20","60.90","13.40M","-0.16%"
"2014年4月11日","61.15","60.80","61.15","60.80","15.02M","-0.08%"
"2014年4月10日","61.20","61.25","61.30","60.90","13.49M","0.33%"
"2014年4月9日","61.00","60.80","61.10","60.80","12.07M","0.33%"
"2014年4月8日","60.80","60.45","60.90","60.45","14.01M","0.50%"
"2014年4月7日","60.50","60.40","60.50","60.30","11.38M","-0.25%"
"2014年4月3日","60.65","60.80","60.95","60.65","12.62M","-0.25%"
"2014年4月2日","60.80","60.80","61.15","60.80","19.10M","0.33%"
"2014年4月1日","60.60","60.25","60.60","60.20","28.84M","0.83%"
"2014年3月31日","60.10","60.05","60.15","59.90","17.19M","0.33%"
"2014年3月28日","59.90","59.85","60.10","59.80","20.16M","0.17%"
"2014年3月27日","59.80","59.50","59.85","59.45","11.26M","0.17%"
"2014年3月26日","59.70","59.45","59.70","59.35","9.98M","0.93%"
"2014年3月25日","59.15","58.50","59.15","58.50","4.92M","0.85%"
"2014年3月24日","58.65","58.45","58.65","58.25","11.35M","0.26%"
"2014年3月21日","58.50","58.65","58.65","58.40","4.14M","0.00%"
"2014年3月20日","58.50","58.70","58.70","58.30","18.48M","-1.27%"
"2014年3月19日","59.25","59.40","59.45","58.95","9.86M","-0.25%"
"2014年3月18日","59.40","59.40","59.50","59.20","14.86M","0.59%"
"2014年3月17日","59.05","59.15","59.20","58.90","8.98M","-0.17%"
"2014年3月14日","59.15","59.15","59.30","59.10","13.45M","-1.00%"
"2014年3月13日","59.75","59.25","59.80","59.25","25.69M","1.62%"
"2014年3月12日","58.80","58.85","59.00","58.75","2.67M","-0.93%"
"2014年3月11日","59.35","59.25","59.45","59.15","4.97M","0.51%"
"2014年3月10日","59.05","59.30","59.40","58.95","7.93M","-0.59%"
"2014年3月7日","59.40","59.30","59.80","59.30","30.39M","0.42%"
"2014年3月6日","59.15","58.35","59.20","58.35","26.23M","1.46%"
"2014年3月5日","58.30","58.20","58.45","58.20","6.90M","1.04%"
"2014年3月4日","57.70","57.90","58.00","57.70","6.19M","-0.43%"
"2014年3月3日","57.95","57.80","58.15","57.50","8.02M","-0.60%"
"2014年2月27日","58.30","58.30","58.45","58.30","3.68M","-0.17%"
"2014年2月26日","58.40","58.00","58.50","57.95","8.95M","0.43%"
"2014年2月25日","58.15","58.25","58.25","57.95","8.62M","0.43%"
"2014年2月24日","57.90","58.40","58.45","57.80","7.37M","-0.52%"
"2014年2月21日","58.20","58.40","58.45","58.20","17.32M","0.95%"
"2014年2月20日","57.65","58.05","58.05","57.60","13.74M","-0.86%"
"2014年2月19日","58.15","58.10","58.20","58.05","13.37M","0.00%"
"2014年2月18日","58.15","57.95","58.15","57.80","13.09M","0.35%"
"2014年2月17日","57.95","58.10","58.25","57.95","15.43M","0.00%"
"2014年2月14日","57.95","57.70","58.20","57.70","22.33M","0.96%"
"2014年2月13日","57.40","57.45","57.55","57.35","8.24M","-0.26%"
"2014年2月12日","57.55","57.15","57.55","57.15","18.60M","1.05%"
"2014年2月11日","56.95","56.60","56.95","56.60","5.58M","0.62%"
"2014年2月10日","56.60","56.90","56.90","56.60","6.02M","0.00%"
"2014年2月7日","56.60","56.40","56.70","56.30","16.03M","1.07%"
"2014年2月6日","56.00","55.95","56.20","55.80","12.85M","0.36%"
"2014年2月5日","55.80","56.40","56.40","55.60","57.56M","-3.12%"
"2014年1月27日","57.60","58.10","58.20","57.45","21.33M","-1.79%"
"2014年1月24日","58.65","58.30","58.80","58.30","10.71M","0.26%"
"2014年1月23日","58.50","58.60","58.75","58.35","6.90M","-0.26%"
"2014年1月22日","58.65","58.45","58.65","58.35","6.84M","0.17%"
"2014年1月21日","58.55","58.75","58.85","58.50","6.96M","-0.43%"
"2014年1月20日","58.80","58.40","58.80","58.40","5.63M","0.26%"
"2014年1月17日","58.65","58.60","58.70","58.30","8.17M","0.17%"
"2014年1月16日","58.55","58.50","58.75","58.50","12.77M","0.26%"
"2014年1月15日","58.40","57.95","58.45","57.95","11.68M","1.04%"
"2014年1月14日","57.80","57.70","57.85","57.60","4.28M","-0.17%"
"2014年1月13日","57.90","58.00","58.20","57.80","6.18M","0.61%"
"2014年1月10日","57.55","57.50","57.65","57.50","4.74M","0.00%"
"2014年1月9日","57.55","57.65","57.80","57.40","8.57M","-0.43%"
"2014年1月8日","57.80","57.70","57.95","57.70","7.61M","0.17%"
"2014年1月7日","57.70","57.75","57.90","57.70","13.13M","0.00%"
"2014年1月6日","57.70","57.75","57.95","57.55","14.87M","-0.26%"
"2014年1月3日","57.85","58.45","58.45","57.70","14.51M","-1.20%"
"2014年1月2日","58.55","58.70","58.75","58.35","10.76M","-0.26%"
"2013年12月31日","58.70","59.05","59.05","58.70","12.26M","-0.17%"
"2013年12月30日","58.80","58.35","58.95","58.35","18.12M","0.86%"
"2013年12月27日","58.30","57.80","58.40","57.80","12.61M","0.78%"
"2013年12月26日","57.85","57.85","57.95","57.80","3.42M","0.00%"
"2013年12月25日","57.85","57.90","57.95","57.75","3.32M","0.09%"
"2013年12月24日","57.80","57.85","57.90","57.70","5.05M","-0.09%"
"2013年12月23日","57.85","57.55","58.00","57.55","9.02M","0.70%"
"2013年12月20日","57.45","57.35","57.55","57.20","4.32M","0.17%"
"2013年12月19日","57.35","57.40","57.50","57.15","6.05M","0.61%"
"2013年12月18日","57.00","57.20","57.20","56.85","3.49M","-0.35%"
"2013年12月17日","57.20","57.15","57.30","57.10","3.09M","0.53%"
"2013年12月16日","56.90","57.25","57.25","56.70","6.97M","-0.78%"
"2013年12月13日","57.35","57.10","57.40","57.05","5.10M","-0.09%"
"2013年12月12日","57.40","57.60","57.60","57.20","4.22M","-0.78%"
"2013年12月11日","57.85","57.95","58.30","57.65","10.11M","0.09%"
"2013年12月10日","57.80","57.55","57.90","57.55","6.87M","0.26%"
"2013年12月9日","57.65","57.55","57.95","57.55","8.65M","0.87%"
"2013年12月6日","57.15","57.05","57.40","56.90","4.02M","0.09%"
"2013年12月5日","57.10","57.45","57.50","57.00","6.06M","-0.61%"
"2013年12月4日","57.45","57.25","57.65","57.20","7.40M","-0.09%"
"2013年12月3日","57.50","57.35","57.50","57.15","7.39M","0.09%"
"2013年12月2日","57.45","57.60","57.70","57.35","5.60M","-0.17%"
"2013年11月29日","57.55","57.35","57.70","57.25","14.72M","0.35%"
"2013年11月28日","57.35","57.35","57.45","57.20","11.24M","0.61%"
"2013年11月27日","57.00","56.70","57.05","56.65","8.12M","0.53%"
"2013年11月26日","56.70","56.00","56.90","56.00","9.88M","0.80%"
"2013年11月25日","56.25","56.15","56.50","56.15","10.35M","1.35%"
"2013年11月22日","55.50","55.50","55.70","55.50","10.94M","0.09%"
"2013年11月21日","55.45","56.10","56.10","55.40","35.06M","-1.77%"
"2013年11月20日","56.45","56.65","56.70","56.35","9.70M","-0.62%"
"2013年11月19日","56.80","56.55","56.85","56.55","8.48M","0.62%"
"2013年11月18日","56.45","56.35","56.50","56.20","5.57M","0.53%"
"2013年11月15日","56.15","56.10","56.35","55.90","12.72M","0.45%"
"2013年11月14日","55.90","56.00","56.10","55.65","15.58M","0.27%"
"2013年11月13日","55.75","56.25","56.30","55.70","17.17M","-1.33%"
"2013年11月12日","56.50","56.60","56.60","56.20","6.24M","0.36%"
"2013年11月11日","56.30","56.45","56.50","56.20","8.24M","-0.27%"
"2013年11月8日","56.45","56.60","56.65","56.35","6.21M","-0.35%"
"2013年11月7日","56.65","56.85","56.85","56.50","4.90M","-0.26%"
"2013年11月6日","56.80","56.80","56.90","56.60","4.72M","0.00%"
"2013年11月5日","56.80","57.25","57.35","56.75","7.88M","-0.96%"
"2013年11月4日","57.35","57.40","57.40","57.10","6.65M","-0.43%"
"2013年11月1日","57.60","58.00","58.10","57.45","6.29M","-0.52%"
"2013年10月31日","57.90","57.85","58.05","57.60","6.05M","0.00%"
"2013年10月30日","57.90","57.80","57.90","57.65","4.38M","0.26%"
"2013年10月29日","57.75","57.45","57.80","57.30","5.79M","0.43%"
"2013年10月28日","57.50","57.15","57.65","57.10","6.94M","0.70%"
"2013年10月25日","57.10","57.35","57.35","56.85","11.18M","-0.78%"
"2013年10月24日","57.55","57.70","57.70","57.15","7.94M","-1.96%"
"2013年10月23日","58.70","59.10","59.10","58.60","8.64M","-0.51%"
"2013年10月22日","59.00","58.80","59.10","58.60","7.20M","0.00%"
"2013年10月21日","59.00","59.05","59.15","58.85","6.55M","-0.08%"
"2013年10月18日","59.05","58.65","59.10","58.65","14.82M","0.85%"
